"id","camion","marque","site","type","affectation","capacite","utile","created_at","updated_at"
"195","2714TU210","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"196","2194TU185","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"197","8366TU215","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"198","8009TU204","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"199","8338TU215","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"200","531TU157","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"201","3851TU248","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"202","2391TU130","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"203","9110TU209","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"204","5129TU203","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"205","6943TU166","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"206","8822TU197","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"207","7444TU203","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"208","8332TU215","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"209","9320TU202","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"210","8941TU190","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"211","6675TU193","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"212","2589TU257","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"213","4021TU176","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"214","834TU181","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"215","8169TU236","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"216","8580TU232","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"217","3229TU198","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"218","5161TU158","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"219","597TU240","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"220","8572TU204","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"221","8165TU236","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"222","8012TU204","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"223","2037TU197","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"224","6033TU258","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"225","1087TU211","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"226","2374TU173","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"227","3446TU174","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"228","1229TU189","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"229","RS189327","Renault","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"230","9134TU135","DAF","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"231","2771TU229","Volvo","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"232","3860TU194","MAN","SFAX","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"233","6156TU201","Scania","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"234","4789TU230","DAF","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"235","1188TU202","Volvo","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"236","4020TU173","MAN","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"237","5083TU175","Scania","BAR","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"238","6060TU148","DAF","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"239","718TU193","Volvo","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"240","4593TU169","MAN","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"241","8226TU215","Scania","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"242","7232TU194","DAF","SFAX","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"243","8579TU232","Volvo","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"244","6891TU219","MAN","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"245","6311TU197","Scania","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"246","9664TU177","DAF","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"247","7702TU202","Volvo","BAR","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"248","2816TU173","MAN","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"249","9616TU204","Scania","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"250","9791TU215","DAF","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"251","7592TU181","Volvo","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"252","2929TU178","MAN","SFAX","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"253","7903TU191","Scania","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"254","527TU174","DAF","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"255","3826TU166","Volvo","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"256","149TU249","MAN","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"257","5014TU203","Scania","BAR","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"258","4931TU199","DAF","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"259","9657TU177","Volvo","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"260","621TU240","MAN","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"261","2769TU229","Scania","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"262","6789TU194","DAF","SFAX","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"263","9109TU209","Volvo","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"264","8336TU215","MAN","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"265","6155TU201","Scania","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"266","2772TU229","DAF","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"267","531TU174","Volvo","BAR","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"268","2573TU195","MAN","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"269","8333TU215","Scania","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"270","2156TU174","DAF","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"271","8331TU215","Volvo","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"272","6684TU223","MAN","SFAX","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
